feature,ET,RF,mean_importance
LG2_WR,0.031388791059001796,0.056708823199693566,0.04404880712934768
LG_WR,0.02405736179499305,0.05593743065110979,0.039997396223051415
WR_d11_WF,0.01651085004224506,0.04414531304071473,0.030328081541479895
LG2,0.03715721536424285,0.023376798482705716,0.030267006923474282
LG3,0.0352217948540293,0.02491144793635587,0.030066621395192585
WR2_LG,0.02080377186225387,0.037166010625741805,0.028984891243997838
LG,0.0336007421543181,0.024076118007649003,0.02883843008098355
cosLG1,0.030511209160140218,0.024421140498742184,0.0274661748294412
zone_LG,0.02388014454556139,0.02980964452587026,0.026844894535715827
logLG,0.02792364236753336,0.0229854463967759,0.02545454438215463
WR_LGr,0.02063992462164833,0.029134301381440686,0.02488711300154451
LG_WRr,0.019879873821312257,0.029173194211222712,0.024526534016267483
cosLG2,0.026627716987706905,0.016878629307888235,0.02175317314779757
LG_LR,0.025593408267915847,0.017698842603187336,0.02164612543555159
sinLG1,0.02866610818816114,0.011377883211519876,0.020021995699840506
LR_LG_WF_zone,0.016677276094417565,0.021522437866632705,0.019099856980525135
WR_WF,0.016717332130916696,0.018758209012842097,0.017737770571879398
LG_WR_LR_WF,0.015124121944713657,0.020059295670312255,0.017591708807512957
WR_d11_LG,0.011096108560285391,0.023873781176086056,0.017484944868185723
LG_WR_WF,0.014856110022498105,0.0201026049275148,0.017479357475006452
LG_WF_zone,0.015735837313184838,0.01906865263887728,0.01740224497603106
LR_LG_WF,0.014291362156229974,0.017266156938598065,0.01577875954741402
WR_WFr,0.014624283132418727,0.016808060464854113,0.015716171798636422
WR_b3_LR_WF,0.016594898107070908,0.013855005729440973,0.01522495191825594
LR_WF2,0.016116445356161965,0.01410799998801705,0.015112222672089507
LR_WF,0.016487197836831342,0.013473812750902725,0.014980505293867033
LG_WF,0.014146219818902139,0.013861534132928158,0.01400387697591515
WF2_LG,0.013406969964013707,0.014322829004075761,0.013864899484044735
WR_b3_LG_WF,0.014096783164882856,0.01300004412329594,0.013548413644089399
sinLG2,0.01741669951558413,0.009656638855335704,0.013536669185459918
WR_d1125,0.014905818542408585,0.010619897413181492,0.012762857977795038
sinWF1_LG,0.012547385981451848,0.012510113297936071,0.01252874963969396
WF,0.01508080697587416,0.009909170634656687,0.012494988805265422
WF3,0.014853356663073265,0.009604118741927367,0.012228737702500315
WF2,0.015297328917865555,0.008707237089242724,0.012002283003554139
dWR_11.25,0.008356204419109234,0.015230074768304971,0.011793139593707102
logWF,0.014047339018618873,0.008708787855555972,0.011378063437087423
dWR_10.75,0.008358649312475448,0.014280237869548004,0.011319443591011726
cosWF1_LG,0.011057076703693347,0.011212147347266733,0.01113461202548004
dWR_11.0,0.008328254983281252,0.013896301242662364,0.011112278112971809
WR_d11_LR,0.008288332777112507,0.013860104626610262,0.011074218701861385
dWR_12.0,0.009795372029596785,0.011894898064420826,0.010845135047008805
WR2,0.009911203799689624,0.011713594917408844,0.010812399358549234
dWR_12.5,0.00920333065858881,0.01227982405227797,0.01074157735543339
dWR_8.5,0.008412355522544178,0.012846996154615424,0.010629675838579801
WR_d11,0.008536312040094739,0.012311994673867519,0.010424153356981129
sinWF1_LR,0.011503153398906018,0.00907339484433885,0.010288274121622434
WR,0.008348317815406413,0.01203678152969067,0.010192549672548542
WR3,0.009699138433077561,0.01020367738963532,0.00995140791135644
sinWF2,0.011111219698399661,0.008125570147633269,0.009618394923016464
cosWF2,0.011811106420126739,0.006476870587056255,0.009143988503591497
sinWF1,0.01128891694436548,0.006815526347837525,0.009052221646101501
sinWF3,0.01018979294974447,0.007497296889026153,0.008843544919385311
cosWF1_LR,0.010548064004367702,0.006925134013155431,0.008736599008761566
logWR,0.00883117599721241,0.00821882253086721,0.00852499926403981
cosWF3,0.01105326344816777,0.005894512039098684,0.008473887743633227
WR_zone,0.009553446212988015,0.005097501077672178,0.007325473645330096
cosWF1,0.009790960295632303,0.0047121022760629894,0.007251531285847646
zone_LR,0.009994824935024908,0.004432916812806482,0.007213870873915695
WR_b4,0.01103948011624961,0.0016245332226386567,0.006332006669444133
WR_LR,0.006222751240361015,0.004018117397436414,0.005120434318898715
LR_WR_d11,0.005935945136074881,0.003486049740098819,0.00471099743808685
WR_b2,0.007426763443428901,0.0016671421807797843,0.004546952812104342
WR_b3,0.007066475434271614,0.000771072593845773,0.003918774014058693
LR_zone,0.004016987412933448,0.0017623162498909726,0.0028896518314122104
WR_b5,0.004396867387073854,0.0004771320641127385,0.0024369997255932964
logLR,0.002801948221395573,0.0008652027068294904,0.0018335754641125319
LR_delta,0.0027211242756349147,0.0007180839673656784,0.0017196041215002966
LR2,0.0026587430844378732,0.00063213430746564,0.0016454386959517567
LR,0.0025257821615055987,0.0007039181132022309,0.0016148501373539148
LR_flag,0.0023453603473280005,0.0006140548774564642,0.0014797076123922322
WR_b1,0.00028906263123158163,2.6549984181667304e-05,0.00015780630770662448
