epoch,train_accuracy,validation_accuracy,train_loss,validation_loss
1,0.7951515151515152,0.7941888619854721,0.5287420136094022,0.5353508126750794
2,0.8412121212121212,0.8184019370460048,0.3621719582366291,0.3727901940536097
3,0.8557575757575757,0.847457627118644,0.33494164174032626,0.34351471004598844
4,0.8642424242424243,0.8571428571428571,0.32005701163476497,0.3381225007063185
5,0.8660606060606061,0.8547215496368039,0.3122877765949181,0.3297869133447819
6,0.8709090909090909,0.8571428571428571,0.30151668839305446,0.3251312401550575
7,0.8715151515151515,0.8571428571428571,0.2960654985080014,0.321562945568751
8,0.8757575757575757,0.8571428571428571,0.2886888010161017,0.31813188250419516
9,0.8745454545454545,0.8523002421307506,0.28427738506823363,0.3178254452997811
10,0.8787878787878788,0.8619854721549637,0.27886924109056954,0.31362924892500255
11,0.8806060606060606,0.8547215496368039,0.27440297815180564,0.31716543412027076
12,0.8812121212121212,0.8595641646489104,0.27001899172974947,0.3150822848819624
13,0.8836363636363637,0.8547215496368039,0.26709944477243985,0.31913042942099157
14,0.8866666666666667,0.8571428571428571,0.2633706071568724,0.3198639917608346
15,0.8878787878787879,0.8523002421307506,0.2608413830988449,0.3231848008606985
16,0.889090909090909,0.864406779661017,0.257319422708294,0.3213996268122463
17,0.8915151515151515,0.8619854721549637,0.2541260479355391,0.3273433740477828
18,0.8939393939393939,0.8619854721549637,0.25120485323643504,0.3253963540783907
19,0.8933333333333333,0.8595641646489104,0.24821960358015327,0.330860785526134
20,0.8939393939393939,0.8595641646489104,0.2448492231955292,0.3310370703094626
