LG,WR,LR,WF,physics_fc,Pred Freq(Lower) GHz,Pred Freq(Upper) GHz,Pred BW GHz,Probability resonant,Expected BW GHz,Combined score,Known in old dataset,Actual FL,Actual FU,Actual BW
6.5,11.75,3.3,4.7,6.6,5.365842781051851,8.12593316042123,2.8989723835357095,0.5211491304729551,1.5107969369447452,0.6013740645846785,False,,,
5.5,11.25,3.0,4.2,7.2,5.895449720306069,8.132983918527927,2.595984131217587,0.5566429068287794,1.445036152882341,0.598703814113008,False,,,
6.0,11.75,3.3,4.4,6.8,5.416501135537176,8.172743685057519,2.819899822758525,0.5634522939887052,1.5888790239516342,0.5922715080885907,False,,,
7.0,11.5,3.0,4.1,6.8,6.256082209854011,7.664386193837204,1.758626398863365,0.5141794360461379,0.9042495299834155,0.5862308086435958,False,,,
6.0,11.75,3.3,4.8,6.7,5.316457092320322,8.092271375741218,2.8478645911208798,0.5762481141343961,1.6410765999435302,0.58305792248995,False,,,
6.0,11.75,3.0,4.9,6.6,5.278843304620464,7.938197066747386,2.650548670304854,0.4921786177083419,1.3045433807193267,0.5827417900968817,False,,,
7.0,11.5,3.0,4.0,6.8,6.2070467195782255,7.6059960297695035,1.798397235842647,0.5338985136795205,0.9601616112217473,0.5825284166819187,False,,,
5.5,11.5,3.0,4.1,7.2,5.531688094697471,7.859679610917506,2.470727593698787,0.5454013852772954,1.3475382522461572,0.5800932872814406,False,,,
5.5,11.25,3.0,4.1,7.2,5.734869144043203,8.086234223531134,2.5068783402569457,0.5240987905246882,1.313851906121203,0.5793387256854243,False,,,
6.0,11.75,3.0,5.0,6.6,5.273042028204536,7.903652173684982,2.67606205215494,0.4940219161124209,1.3220333026413207,0.5790810864800067,False,,,
5.5,11.75,3.0,4.6,6.9,5.333861261995307,7.692418321729331,2.3745225217951043,0.5245760462641054,1.2456176362483486,0.5784767102094761,False,,,
7.0,11.5,3.0,4.2,6.7,6.253579760856006,7.811594291525008,2.053289123479593,0.5667860374233491,1.1637756059814603,0.5772534695900499,False,,,
5.5,11.25,3.0,3.5,7.5,6.020676558616538,8.105322335838583,2.529505663875317,0.5896394880234314,1.4914964245998117,0.5772097737796007,False,,,
6.5,11.75,3.3,4.8,6.6,5.332779790230911,8.084625160227368,2.865769757829512,0.5617466919297656,1.6098366812930935,0.5764308879615814,False,,,
5.5,11.75,3.0,3.5,7.300000000000001,5.534449352909766,8.067324989558639,2.6271360562892063,0.5961505442892987,1.566168589878852,0.5758140258839626,False,,,
6.0,11.75,3.3,4.1,6.9,5.369109180972891,7.821624484523681,2.5427790693794625,0.5590259877833206,1.4214795809746066,0.574505466960226,False,,,
6.0,11.75,3.3,4.7,6.7,5.306503547028017,8.017366717899572,2.7478286118820954,0.560831362468546,1.541068464231889,0.5743054121851661,False,,,
6.0,11.75,3.0,3.2,7.2,5.666054926921389,8.166982423968665,2.5985615993279394,0.5601716281704645,1.455640481996778,0.572522747120086,False,,,
5.5,11.25,3.0,3.4,7.5,5.974148522571502,8.131733317413357,2.4946733816641276,0.61146596080158,1.5254078562053826,0.5706719272652756,False,,,
6.0,11.75,3.3,4.6,6.8,5.350330391941173,8.103820077037911,2.803501519281151,0.5413744487110829,1.5177440894615164,0.5701512075653897,False,,,
